,economy,economycode,regionwb,pop_adult,wpid_random,wgt,female,age,educ,inc_q,emp_in,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,fin10,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin14a,fin14b,fin14c,fin15,fin16,fin17a,fin17b,fin19,fin20,fin21,fin22a,fin22b,fin22c,fin24,fin25,fin26,fin27a,fin27b,fin27c1,fin27c2,fin28,fin29a,fin29b,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31c,fin32,fin33,fin34a,fin34b,fin34c1,fin34c2,fin35,fin36,fin37,fin38,fin39a,fin39b,fin39c1,fin39c2,fin40,fin41,fin42,fin43a,fin43b,fin43c1,fin43c2,fin44,fin45,fin46,fin47a,fin47b,fin47c1,fin47c2,fin47c3,fin47c4,fin47c5,mobileowner,fin48,account_fin,account_mob,account,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,pay_onlne,pay_onlne_mobintbuy,pay_cash,pay_cash_mobintbuy,% deviation from mean age
114292,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,180129353,0.261434414974821,2,66.0,1.0,1,0.0,2,,,,,2,,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2,2,,2,2,2,1.0,2,2,2,2,2,2.0,2,,2.0,,,,,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,1.0,2,,,,,,,,1,1,2.0,2.0,1.0,2.0,,,2.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,2.0,,0,0.0,0,1,0,4,2,2,4.0,2,3.0,0.0,,0.0,,63.06764836685281
114293,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,171987745,0.424915727123944,2,24.0,3.0,5,1.0,1,1.0,1.0,2.0,2.0,2,,1.0,1.0,,,,,,,,,2,1,2.0,1,1,1,2.0,2,2,2,2,2,,1,1.0,1.0,1.0,2.0,,,2.0,,,,,2,,,,1,2.0,1.0,2.0,,,2.0,,2,2,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1,0.0,1,1,0,1,4,4,4.0,4,1.0,0.0,0.0,1.0,1.0,40.70267332114443
114294,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,178228576,0.732468626538549,2,88.0,1.0,4,1.0,1,1.0,2.0,2.0,2.0,2,,1.0,1.0,,,,,,,,,2,2,,1,1,1,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,1,1,2.0,2.0,1.0,2.0,,,2.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,2.0,,1,0.0,1,1,0,4,2,2,4.0,2,5.0,0.0,,0.0,,117.42353115580374
114295,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,193725076,0.388120603433874,2,30.0,2.0,5,1.0,1,1.0,2.0,2.0,2.0,2,,1.0,1.0,,,,,,,,,2,2,,1,1,2,2.0,2,2,2,2,1,,1,3.0,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,1.0,2.0,1.0,,,,,,1.0,,1,0.0,1,1,1,4,4,4,4.0,2,5.0,0.0,,0.0,,25.878341651430542
114296,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,194711242,2.33319636965126,2,33.0,3.0,5,1.0,1,1.0,2.0,2.0,2.0,2,,1.0,1.0,,,,,,,,,2,2,,2,1,1,2.0,2,2,2,2,2,,1,3.0,1.0,1.0,2.0,,,2.0,,,,,1,2.0,2.0,1.0,1,1.0,1.0,2.0,,,1.0,1.0,1,2,1.0,2.0,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,1,0.0,1,1,0,1,1,4,2.0,2,1.0,0.0,,0.0,,18.466175816573596
114297,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,187084257,1.1979917373404,1,57.0,1.0,1,1.0,2,,,,,2,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,,0,0.0,0,1,0,4,4,4,4.0,4,5.0,0.0,,0.0,,40.83115086228197
114298,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,156608530,1.06692599426609,1,18.0,2.0,2,0.0,2,,,,,2,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,2.0,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,2,,,,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,2.0,,0,0.0,0,0,1,4,4,4,4.0,4,5.0,0.0,0.0,1.0,1.0,55.52700499085832
114299,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,204779125,0.776156597846066,2,20.0,2.0,2,0.0,2,,,,,2,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,,2,2,2,2.0,2,2,2,2,2,,2,,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,0,0.0,0,0,1,4,4,4,4.0,2,5.0,0.0,,0.0,,50.5855611009537
114300,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,117611794,1.70292742884875,2,23.0,3.0,4,1.0,2,,,2.0,2.0,2,,1.0,2.0,,,,,,,,,2,2,,1,2,2,2.0,2,1,2,2,1,,2,,1.0,1.0,2.0,,,1.0,1.0,2.0,,,1,2.0,2.0,1.0,1,2.0,2.0,2.0,1.0,2.0,,,2,2,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,1,0.0,1,1,1,2,4,4,2.0,2,1.0,0.0,,0.0,,43.17339526609675
114301,Philippines,PHL,East Asia & Pacific (excluding high income),70293928.0,115664503,0.746284287630787,2,50.0,2.0,5,1.0,2,,,,,2,,,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2,2,,2,2,2,2.0,2,2,1,2,1,,2,,2.0,,,,,2.0,,,,,1,2.0,2.0,1.0,2,,,,,,,,2,2,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,0,0.0,0,0,1,4,4,4,2.0,2,5.0,0.0,,0.0,,23.536097247615764
